system:index,CVEGEO,CVE_AGEB,CVE_ENT,CVE_LOC,CVE_MUN,mean,.geo
00000000000000000000,0600100010081,0081,06,0001,001,1.758461895868028E-4,"{""type"":""Polygon"",""coordinates"":[[[-103.9710488908585,18.942277569410287],[-103.97096858359117,18.94208782175687],[-103.97088836491204,18.941847434139927],[-103.97060299574991,18.94133709605439],[-103.97021943502423,18.940607427728597],[-103.96993858283183,18.939949454847532],[-103.96961753370444,18.939308384472284],[-103.96929196975523,18.93865036655144],[-103.96910470663994,18.938118965760737],[-103.96900217687157,18.937536934954203],[-103.96892629780871,18.93710671891917],[-103.9682931475329,18.93719106573615],[-103.96717834614887,18.937338698392754],[-103.96718728860691,18.937401949978295],[-103.96724076628884,18.93773935271082],[-103.96725413571257,18.937819557881923],[-103.9663846831686,18.937908108205335],[-103.96571134817135,18.937979820309362],[-103.96499790883273,18.938055744358806],[-103.96500676261181,18.9381020663872],[-103.96506475487887,18.93853649362859],[-103.96507369720007,18.9385998346098],[-103.96507812409197,18.938637715762294],[-103.96513160095736,18.939080646265122],[-103.9651405432829,18.939127050278902],[-103.965149485609,18.939207150999515],[-103.96521633172851,18.93971326242271],[-103.9652297009563,18.93982290894722],[-103.96524758562067,18.93994098964636],[-103.96530557798884,18.940388098872265],[-103.96531894722526,18.940502001963033],[-103.96532337412502,18.94054839612007],[-103.96540367811136,18.941159892272147],[-103.96541253191646,18.941223240289922],[-103.96542147426017,18.941303341309638],[-103.96549726285996,18.94187270718408],[-103.96550620520917,18.94196132120057],[-103.96551514755897,18.94202874164354],[-103.96557305150132,18.942480027010372],[-103.96557756694739,18.942517990337784],[-103.96558199385544,18.942560216886267],[-103.96564441327408,18.9430536338168],[-103.96564892872247,18.94311270214575],[-103.96636237142381,18.94301148990747],[-103.96705793290887,18.942910221869607],[-103.96791410874071,18.942787906203392],[-103.96897092213001,18.942653011764186],[-103.96970669426705,18.942555934722925],[-103.97006342563378,18.94251804578879],[-103.9700589100411,18.942467402630168],[-103.9710488908585,18.942277569410287]]]}"
00000000000000000001,060010001019A,019A,06,0001,001,1.760154013318348E-4,"{""type"":""Polygon"",""coordinates"":[[[-103.96499790883273,18.938055744358806],[-103.96430669605128,18.938118973314744],[-103.96364674025939,18.93817804031291],[-103.96291542722226,18.93824131008307],[-103.96221094446436,18.938304568745934],[-103.96170257168225,18.938346738822958],[-103.961265560282,18.9383467492448],[-103.96088211401994,18.93838470332046],[-103.96074391072183,18.938405803016188],[-103.96058782349901,18.938266609915765],[-103.96052089108545,18.93820751594595],[-103.96022660133474,18.93831297559171],[-103.9599412542003,18.938418461943137],[-103.959852099942,18.938401588696795],[-103.95966033437402,18.937979754847987],[-103.95946414236049,18.937924937152015],[-103.9591832235054,18.937937594034363],[-103.95921890273577,18.938540712826164],[-103.95921438749767,18.938675757884145],[-103.95932585194812,18.938751672777173],[-103.95950424837667,18.9388106859112],[-103.9597227511155,18.938696821775746],[-103.95994568092763,18.93870525985969],[-103.96036489264966,18.938561801566443],[-103.96225999341766,18.93970483728764],[-103.9620548555827,18.940447111493757],[-103.9618274070405,18.94060741962577],[-103.96178287356287,18.9412062842616],[-103.96176498934727,18.941299075368],[-103.96180961135487,18.941345505755354],[-103.96181403814212,18.94136237118688],[-103.9618542333769,18.941518389541663],[-103.96225547808008,18.941632304258203],[-103.96231798453114,18.94165759424997],[-103.96226442021937,18.941771465208255],[-103.96231346919167,18.94186845802117],[-103.96222874020172,18.94214689841569],[-103.96221988660075,18.9422227724391],[-103.96235366457185,18.9422143336506],[-103.96281290204793,18.94212154702074],[-103.96297793397211,18.942092011039467],[-103.96306709024927,18.942172196667027],[-103.96333464796287,18.94216374189413],[-103.96324991834624,18.941522604465373],[-103.96340600857897,18.941501554626935],[-103.96402576734168,18.941408749088712],[-103.96468572494494,18.941320232671384],[-103.96541253191646,18.941223240289922],[-103.96540367811136,18.941159892272147],[-103.96532337412502,18.94054839612007],[-103.96531894722526,18.940502001963033],[-103.96530557798884,18.940388098872265],[-103.96524758562067,18.93994098964636],[-103.9652297009563,18.93982290894722],[-103.96521633172851,18.93971326242271],[-103.965149485609,18.939207150999515],[-103.9651405432829,18.939127050278902],[-103.96513160095736,18.939080646265122],[-103.96507812409197,18.938637715762294],[-103.96507369720007,18.9385998346098],[-103.96506475487887,18.93853649362859],[-103.96500676261181,18.9381020663872],[-103.96499790883273,18.938055744358806]]]}"
00000000000000000002,0600100010359,0359,06,0001,001,1.7589049206054327E-4,"{""type"":""Polygon"",""coordinates"":[[[-103.97276112019107,18.94718260104462],[-103.97275226591512,18.947174232764983],[-103.97266753052308,18.94706454317175],[-103.97254711250042,18.946912710438202],[-103.97253816969557,18.946900092493074],[-103.97222163019347,18.94652045247235],[-103.97210121255918,18.946364451443248],[-103.97198079502981,18.946204193852076],[-103.97197194080384,18.946191480413827],[-103.9726362749527,18.945710734699748],[-103.97256499811186,18.945567295646274],[-103.97252037263021,18.94548300588259],[-103.97247574716296,18.945423899773818],[-103.97229299539977,18.94506542850621],[-103.97206110288518,18.945242583603854],[-103.9715304698164,18.945655915766306],[-103.97107120336003,18.945972193912493],[-103.97079026089534,18.94619991724057],[-103.97020606531362,18.9466301111782],[-103.96997426484101,18.94676930616243],[-103.97019269560428,18.947043475502845],[-103.97025511710594,18.94711940162405],[-103.97039784552486,18.947401925774223],[-103.97044689738524,18.947528443113026],[-103.97054500115823,18.947777309978147],[-103.97077237551352,18.948363555175842],[-103.97182026800117,18.947967090608813],[-103.97202099322281,18.94778149553766],[-103.97199416491209,18.947743552856476],[-103.97200753479565,18.947735082486187],[-103.97206553000095,18.94769296382588],[-103.97276112019107,18.94718260104462]]]}"
00000000000000000003,0600100010151,0151,06,0001,001,1.7629621813983407E-4,"{""type"":""Polygon"",""coordinates"":[[[-103.9710488908585,18.942277569410287],[-103.9700589100411,18.942467402630168],[-103.97006342563378,18.94251804578879],[-103.96970669426705,18.942555934722925],[-103.96897092213001,18.942653011764186],[-103.96791410874071,18.942787906203392],[-103.96705793290887,18.942910221869607],[-103.96636237142381,18.94301148990747],[-103.96564892872247,18.94311270214575],[-103.96564441327408,18.9430536338168],[-103.96558199385544,18.942560216886267],[-103.96557756694739,18.942517990337784],[-103.96557305150132,18.942480027010372],[-103.96551514755897,18.94202874164354],[-103.96550620520917,18.94196132120057],[-103.96549726285996,18.94187270718408],[-103.96542147426017,18.941303341309638],[-103.96541253191646,18.941223240289922],[-103.96468572494494,18.941320232671384],[-103.96402576734168,18.941408749088712],[-103.96340600857897,18.941501554626935],[-103.96324991834624,18.941522604465373],[-103.96333464796287,18.94216374189413],[-103.96306709024927,18.942172196667027],[-103.96297793397211,18.942092011039467],[-103.96281290204793,18.94212154702074],[-103.96235366457185,18.9422143336506],[-103.96221988660075,18.9422227724391],[-103.96218420659463,18.942421029213712],[-103.96230010024622,18.94261081886462],[-103.96278616406161,18.94302835973983],[-103.96291100039969,18.942977771767357],[-103.96317413097981,18.943353094022115],[-103.96323654931012,18.94344587335055],[-103.96347285385454,18.94415019557857],[-103.96332127891856,18.94437370709238],[-103.96329445229709,18.944348442730917],[-103.9625676564735,18.944424328661622],[-103.96255428750345,18.94442854173304],[-103.96247850051886,18.944306277488316],[-103.96233135347832,18.944264127658187],[-103.96195233104747,18.94427249058291],[-103.9619433889284,18.944276720357184],[-103.96193002001878,18.94428518990236],[-103.96181855346526,18.944643710557905],[-103.96181403814212,18.944652124951084],[-103.96180961135487,18.944668956974475],[-103.96140385263789,18.944791271852548],[-103.96139048378053,18.94479548485869],[-103.96137711492446,18.94479969786408],[-103.96118534723767,18.94495994690246],[-103.96103820157553,18.94482078211434],[-103.96080632795336,18.944968396582567],[-103.96084643435957,18.94512451216783],[-103.96068149351854,18.945297433864244],[-103.96066360944562,18.945305804703487],[-103.96064129862525,18.945322671876692],[-103.96026679610726,18.94550405358974],[-103.96023111660595,18.945541982613587],[-103.96020880585549,18.945575787358923],[-103.95986989537525,18.94605657990625],[-103.95999030234711,18.946280081105616],[-103.96006166123442,18.94634335960938],[-103.960088398693,18.946431948093277],[-103.9608687452131,18.946482513575763],[-103.96182298025282,18.946237890961594],[-103.96159110531238,18.945487198286568],[-103.96187645585754,18.945314305744677],[-103.96210833127726,18.945166689781416],[-103.9623090423884,18.94506960510632],[-103.96243387829504,18.945601097116164],[-103.96251418060105,18.945955352728884],[-103.96300015663361,18.945744438530067],[-103.96314730438694,18.945672724994864],[-103.96371810103679,18.945356458050295],[-103.96453857555225,18.94491781650042],[-103.96535462804138,18.944496094010667],[-103.96555082842576,18.94484610476285],[-103.96581387549756,18.945052763180705],[-103.96593428765314,18.94526366315202],[-103.96596102624898,18.945305870840322],[-103.96601450345621,18.94539862180977],[-103.96619733545519,18.945735996065107],[-103.96650058034538,18.94625057213521],[-103.96675477533411,18.946676492462174],[-103.96687067282137,18.94687895721957],[-103.96698665894493,18.947072990782],[-103.96745928127055,18.947359762760822],[-103.96746822374676,18.94734710832289],[-103.96755738292255,18.9472205842677],[-103.96762431874674,18.947165723725803],[-103.96764654215588,18.947144694664672],[-103.96802115322768,18.947081406971478],[-103.96834662564288,18.947077206378093],[-103.96951491501488,18.946086034411255],[-103.96973343359296,18.94643193685043],[-103.96997426484101,18.94676930616243],[-103.97020606531362,18.9466301111782],[-103.97079026089534,18.94619991724057],[-103.97107120336003,18.945972193912493],[-103.9715304698164,18.945655915766306],[-103.97206110288518,18.945242583603854],[-103.97229299539977,18.94506542850621],[-103.97221268740967,18.94487142518928],[-103.97217257770332,18.944774375794957],[-103.97209226978319,18.94457194830631],[-103.97196299803619,18.94428095117853],[-103.97169542361243,18.94367366480839],[-103.97131637548898,18.942859680292294],[-103.97105774502535,18.942298707004316],[-103.9710488908585,18.942277569410287]]]}"
00000000000000000004,0600100010166,0166,06,0001,001,1.7532099443478253E-4,"{""type"":""Polygon"",""coordinates"":[[[-103.95841625508385,18.934938805671543],[-103.95837163417335,18.934567640598793],[-103.9582824809291,18.9345718704113],[-103.95786779072698,18.934567592222663],[-103.95683328398853,18.934567585899018],[-103.95603507681706,18.93465197137819],[-103.95504511511155,18.934761620251212],[-103.9546304346415,18.93480805709402],[-103.95329716216064,18.934955674755575],[-103.95300288781988,18.93498937854742],[-103.95299846131535,18.934989361402007],[-103.95299394628086,18.9349893510078],[-103.9524856074611,18.935044255798097],[-103.95097848506308,18.935558765292836],[-103.95096511721609,18.93556723361479],[-103.95041216754245,18.935799168501095],[-103.95007770754536,18.936026947196783],[-103.94987701423108,18.936166134206484],[-103.94971208650786,18.936444569759004],[-103.9497567046164,18.93651202253201],[-103.94957380587431,18.936604803895978],[-103.94932415745068,18.9367144689236],[-103.9491190388538,18.936862063316863],[-103.94885142018538,18.937022404129056],[-103.94863744956307,18.937191069750302],[-103.94833867028845,18.937435726459643],[-103.94814692073086,18.93757485248318],[-103.9484724347962,18.937929141323334],[-103.94873996420122,18.9383509904872],[-103.94998404472712,18.938127453991136],[-103.95071537774362,18.937996662778307],[-103.95073317199804,18.938119013578124],[-103.95013569353752,18.938253964236395],[-103.9500286629237,18.9383130279623],[-103.95005097202743,18.93874745352629],[-103.95009559024568,18.93913965159282],[-103.95037197564176,18.939312606113226],[-103.95060834667964,18.93934211259759],[-103.95080452609606,18.939595141586093],[-103.95087588023104,18.93968795698016],[-103.95090713087497,18.939700649221642],[-103.95099627935146,18.93970058998977],[-103.95094723440295,18.939316800239258],[-103.95136641877659,18.93924935951676],[-103.95252579997805,18.9390890161831],[-103.95335072299119,18.93896251334871],[-103.95346218270357,18.939578311041664],[-103.95346660922301,18.939612026117423],[-103.95358258408271,18.94023625913935],[-103.95378770932147,18.940725550458765],[-103.95401957114778,18.940978600176543],[-103.95402399768511,18.94099546624388],[-103.9543718354322,18.94135397508905],[-103.9543852036095,18.94136661181656],[-103.95471073240631,18.941109349271205],[-103.95484007653371,18.941206339561663],[-103.95495153744992,18.941202092532492],[-103.95492480098682,18.940923729645775],[-103.95596814661195,18.94079296068219],[-103.95596814661195,18.94080989828335],[-103.9559904566767,18.940809880980286],[-103.9565211185665,18.94084361597685],[-103.95652554518412,18.940240443005806],[-103.95650332356514,18.939785002346515],[-103.95640965638192,18.939084852343946],[-103.95632935762802,18.938460655676483],[-103.9562669424216,18.93784059339243],[-103.95616442218643,18.937131987319173],[-103.95617779053747,18.936975959063904],[-103.95615105383666,18.936128202310684],[-103.95613759695611,18.93572752045938],[-103.9562312639546,18.935719045293013],[-103.95661478582541,18.93568535552912],[-103.95698927843179,18.93562202623374],[-103.95784105369864,18.935436446050584],[-103.95778749112436,18.93500202598491],[-103.95841625508385,18.934938805671543]]]}"
00000000000000000005,0600100010202,0202,06,0001,001,1.7193412804441494E-4,"{""type"":""Polygon"",""coordinates"":[[[-103.96499790883273,18.938055744358806],[-103.9649933934056,18.93800510075944],[-103.96494885890687,18.937655040820598],[-103.96493991659374,18.937587532202976],[-103.96486855518498,18.93700125029064],[-103.96485961287705,18.936942254557916],[-103.96482393218882,18.936668045979125],[-103.96481507842145,18.93661746764711],[-103.96481056300031,18.936575248311758],[-103.9647258324781,18.93594263551855],[-103.96471697871701,18.935862439831432],[-103.96470360953886,18.935761218175166],[-103.9646322482522,18.9352298277996],[-103.96462773283704,18.935183440856566],[-103.96462330595958,18.93514547125972],[-103.96456982929102,18.934685695624463],[-103.96456088700242,18.934622443731644],[-103.96450741035804,18.93455496488657],[-103.96432458059611,18.93432719203374],[-103.96429332691285,18.934289230431432],[-103.96418185845141,18.934031980044107],[-103.96414175107624,18.933428773232535],[-103.96415060480044,18.932749738481625],[-103.96413280881538,18.932235101139465],[-103.96395892179844,18.932239326334543],[-103.96345948479683,18.932357423619226],[-103.96288868921609,18.932530356840456],[-103.96255428750345,18.932627434613007],[-103.96229115810463,18.932872037620786],[-103.9615464833754,18.933175730739116],[-103.96122996905791,18.93323898715593],[-103.96136817284267,18.933441439921843],[-103.96168920279597,18.933521580928176],[-103.96181855346526,18.933610140248067],[-103.96175162045493,18.933724052090064],[-103.9617382515639,18.93385480408952],[-103.96174276688457,18.9339939457435],[-103.96178730034926,18.93420913215198],[-103.96219757552885,18.93416691751982],[-103.96230010024622,18.93452966755325],[-103.96174719366968,18.934584451843314],[-103.96176950466881,18.934926100695147],[-103.96178730034926,18.93496411462752],[-103.9618542333769,18.935499750424064],[-103.9619344468099,18.936166145368535],[-103.9620281177432,18.936933757358453],[-103.96207716663156,18.93731336006209],[-103.96214852659772,18.937908073184182],[-103.96221094446436,18.938304568745934],[-103.96291542722226,18.93824131008307],[-103.96364674025939,18.93817804031291],[-103.96430669605128,18.938118973314744],[-103.96499790883273,18.938055744358806]]]}"
00000000000000000006,0600100010217,0217,06,0001,001,1.7459884468106165E-4,"{""type"":""Polygon"",""coordinates"":[[[-103.96221094446436,18.938304568745934],[-103.96214852659772,18.937908073184182],[-103.96207716663156,18.93731336006209],[-103.9620281177432,18.936933757358453],[-103.9619344468099,18.936166145368535],[-103.9618542333769,18.935499750424064],[-103.96178730034926,18.93496411462752],[-103.96176950466881,18.934926100695147],[-103.96174719366968,18.934584451843314],[-103.96230010024622,18.93452966755325],[-103.96219757552885,18.93416691751982],[-103.96178730034926,18.93420913215198],[-103.96174276688457,18.9339939457435],[-103.9617382515639,18.93385480408952],[-103.96175162045493,18.933724052090064],[-103.96181855346526,18.933610140248067],[-103.96168920279597,18.933521580928176],[-103.96136817284267,18.933441439921843],[-103.96122996905791,18.93323898715593],[-103.96078401710992,18.933293851973705],[-103.9607305419284,18.93343724115577],[-103.96002598178615,18.933711356101977],[-103.9599546229173,18.93379572188802],[-103.95962465502951,18.93397714363555],[-103.95956666504756,18.93405729717632],[-103.95961571306124,18.934453749667107],[-103.95883988885177,18.93453386799954],[-103.95837163417335,18.934567640598793],[-103.95841625508385,18.934938805671543],[-103.95778749112436,18.93500202598491],[-103.95784105369864,18.935436446050584],[-103.95698927843179,18.93562202623374],[-103.95661478582541,18.93568535552912],[-103.9562312639546,18.935719045293013],[-103.95613759695611,18.93572752045938],[-103.95615105383666,18.936128202310684],[-103.95617779053747,18.936975959063904],[-103.95616442218643,18.937131987319173],[-103.9562669424216,18.93784059339243],[-103.95632935762802,18.938460655676483],[-103.9566726860343,18.938376289820226],[-103.95708294600857,18.938237068802184],[-103.95740405452628,18.938194922830082],[-103.95818438586696,18.938064176899502],[-103.95821112296183,18.93806417642509],[-103.95824228673456,18.938064104219755],[-103.95850540841452,18.9380262035625],[-103.95915197098611,18.93793758449565],[-103.9591832235054,18.937937594034363],[-103.95946414236049,18.937924937152015],[-103.95966033437402,18.937979754847987],[-103.959852099942,18.938401588696795],[-103.9599412542003,18.938418461943137],[-103.96022660133474,18.93831297559171],[-103.96052089108545,18.93820751594595],[-103.96058782349901,18.938266609915765],[-103.96074391072183,18.938405803016188],[-103.96088211401994,18.93838470332046],[-103.961265560282,18.9383467492448],[-103.96170257168225,18.938346738822958],[-103.96221094446436,18.938304568745934]]]}"
00000000000000000007,0600100010255,0255,06,0001,001,1.705689773983454E-4,"{""type"":""Polygon"",""coordinates"":[[[-103.96415060480044,18.932749738481625],[-103.96516285483033,18.932669558514736],[-103.96615280056824,18.932580966626148],[-103.9662509012925,18.93228156529067],[-103.9670891872177,18.93192726362392],[-103.96783389183462,18.93186394570882],[-103.96891292822319,18.93172473619621],[-103.9688237681727,18.931159603952157],[-103.96878365944977,18.930851691032917],[-103.9687435507385,18.930564882324923],[-103.96975123029952,18.930434134643367],[-103.96975574588214,18.930434055940257],[-103.9697378606342,18.930315979916177],[-103.9697378606342,18.930311812325904],[-103.96965312708997,18.929721251652865],[-103.96961753370444,18.929143433419746],[-103.96963533039604,18.928995766328637],[-103.97013921677991,18.92896200137552],[-103.97028194507914,18.928999963934398],[-103.97053163141612,18.92929524411072],[-103.97093741694651,18.92954836951392],[-103.97110237003486,18.92959048666738],[-103.97120941699139,18.92956945678676],[-103.97155720949515,18.929379571388875],[-103.97168648086267,18.929337425537174],[-103.97190057576329,18.929409130450818],[-103.97195848238147,18.929447094222734],[-103.97222163019347,18.929312085045535],[-103.9729618467787,18.928974658379712],[-103.97309111945964,18.929531483812944],[-103.9731044894493,18.92964538054994],[-103.97318028226275,18.930615507452238],[-103.97320711080363,18.930914941061648],[-103.97324270511344,18.931214414848437],[-103.97221268740967,18.931345205657628],[-103.97222163019347,18.931395775038954],[-103.9722751098235,18.931817581704312],[-103.97227953694613,18.931863973674407],[-103.97228847973425,18.931910375522083],[-103.97234204793263,18.932323751973957],[-103.9723464750574,18.932374311565415],[-103.97336763944251,18.93225199541395],[-103.97518243176583,18.932049553498455],[-103.97607876874648,18.931952540341516],[-103.97684565813324,18.931872415901733],[-103.97734957079298,18.931817608369677],[-103.97782222854582,18.93175853683398],[-103.97788916933973,18.932386971882682],[-103.97836182893593,18.932332154004428],[-103.97882997426764,18.932273069016333],[-103.97924021149205,18.932226742075834],[-103.97931158031966,18.932218274701157],[-103.98130478663703,18.9319778447808],[-103.98191568222728,18.931901903847212],[-103.98338719103566,18.931716302216643],[-103.98380638529856,18.93166573439659],[-103.98423000833547,18.93159824623135],[-103.983899982501,18.931463244852416],[-103.9835209894891,18.931298734074083],[-103.98340056202022,18.931214392042204],[-103.9832222232992,18.93109209188127],[-103.9830349413245,18.930957085909917],[-103.98281640173293,18.930796803614236],[-103.98257120922254,18.930619671126667],[-103.98237941213358,18.930480486944823],[-103.98208516439216,18.93026959495686],[-103.9817373454189,18.93001234293821],[-103.98093917147607,18.92942604484801],[-103.97881660372455,18.927873778888678],[-103.97861152986148,18.927726203248607],[-103.97838405407097,18.927570141330087],[-103.97812098308007,18.92740979275208],[-103.97785348528816,18.927262195329963],[-103.97766621057777,18.927169386060996],[-103.97748336341006,18.92709344016862],[-103.97728714608873,18.92702179585818],[-103.97712661290058,18.926966933279196],[-103.97708207449253,18.926954285541413],[-103.9768679715701,18.926891011376625],[-103.97665395752429,18.92684457724927],[-103.97643994380955,18.92680665502764],[-103.97622584188095,18.926781330282832],[-103.97600740158646,18.92676449411734],[-103.9758022433427,18.926756042378578],[-103.97565508211402,18.92675601877526],[-103.97547232614905,18.92676447658571],[-103.97526274148066,18.926781367037055],[-103.97507547027759,18.926802405650946],[-103.9748970537408,18.926827733479655],[-103.97468304274446,18.92686571002524],[-103.97446903207928,18.92691210997777],[-103.97425493320158,18.926962683956038],[-103.97324270511344,18.927215801896565],[-103.97087047951753,18.92780629802291],[-103.9707456359866,18.92784003545783],[-103.9704424703213,18.92791593734928],[-103.97014815942956,18.92798770475305],[-103.96986270325482,18.928059416591534],[-103.96957733621039,18.928131121288875],[-103.96929196975523,18.92820282560376],[-103.96899323429606,18.92827448595234],[-103.9688059715856,18.928316710953215],[-103.96857851192541,18.928363067951317],[-103.96784726131573,18.928569800255563],[-103.96731664442606,18.928721581550594],[-103.96614828510337,18.929012655380788],[-103.96594323003063,18.929063241097992],[-103.96561324783032,18.929134976283432],[-103.96559536311862,18.929143434943974],[-103.96547052435389,18.929177169340207],[-103.9652922087537,18.929215073196524],[-103.96511380484588,18.92925732863737],[-103.96489980899842,18.929307886330932],[-103.96476151314099,18.929345839490946],[-103.96462330595958,18.929388042130622],[-103.96450741035804,18.929413379022748],[-103.96415060480044,18.929501967404622],[-103.96408375919677,18.929518772952456],[-103.96412838195377,18.931973672852617],[-103.96413280881538,18.932235101139465],[-103.96415060480044,18.932749738481625]]]}"
00000000000000000008,060010001026A,026A,06,0001,001,1.7688183106755453E-4,"{""type"":""Polygon"",""coordinates"":[[[-103.9591832235054,18.937937594034363],[-103.95915197098611,18.93793758449565],[-103.95850540841452,18.9380262035625],[-103.95824228673456,18.938064104219755],[-103.95821112296183,18.93806417642509],[-103.95818438586696,18.938064176899502],[-103.95740405452628,18.938194922830082],[-103.95708294600857,18.938237068802184],[-103.9566726860343,18.938376289820226],[-103.95632935762802,18.938460655676483],[-103.95640965638192,18.939084852343946],[-103.95650332356514,18.939785002346515],[-103.95652554518412,18.940240443005806],[-103.9565211185665,18.94084361597685],[-103.9559904566767,18.940809880980286],[-103.95596814661195,18.94080989828335],[-103.95596814661195,18.94079296068219],[-103.95492480098682,18.940923729645775],[-103.95495153744992,18.941202092532492],[-103.95484007653371,18.941206339561663],[-103.95471073240631,18.941109349271205],[-103.9543852036095,18.94136661181656],[-103.9543718354322,18.94135397508905],[-103.95402399768511,18.94099546624388],[-103.95401957114778,18.940978600176543],[-103.95378770932147,18.940725550458765],[-103.95358258408271,18.94023625913935],[-103.95346660922301,18.939612026117423],[-103.95346218270357,18.939578311041664],[-103.95335072299119,18.93896251334871],[-103.95252579997805,18.9390890161831],[-103.95136641877659,18.93924935951676],[-103.95094723440295,18.939316800239258],[-103.95099627935146,18.93970058998977],[-103.95090713087497,18.939700649221642],[-103.95087588023104,18.93968795698016],[-103.95080452609606,18.939595141586093],[-103.95060834667964,18.93934211259759],[-103.95037197564176,18.939312606113226],[-103.95009559024568,18.93913965159282],[-103.95005097202743,18.93874745352629],[-103.9500286629237,18.9383130279623],[-103.95013569353752,18.938253964236395],[-103.95073317199804,18.938119013578124],[-103.95071537774362,18.937996662778307],[-103.94998404472712,18.938127453991136],[-103.94873996420122,18.9383509904872],[-103.94833867028845,18.938469026382563],[-103.94804883287938,18.93865881941984],[-103.9478793924773,18.939080643587193],[-103.94772774614995,18.939835615118106],[-103.94809345044938,18.93985242593298],[-103.9487489054643,18.940489365689086],[-103.95081346749309,18.94127379143767],[-103.95129949083754,18.941459397577393],[-103.95454571036922,18.94269094009008],[-103.9549113442259,18.942922873897505],[-103.95599497180929,18.943610369718424],[-103.95678423696393,18.94410802138262],[-103.95970044044722,18.94595112949686],[-103.95986989537525,18.94605657990625],[-103.96020880585549,18.945575787358923],[-103.96023111660595,18.945541982613587],[-103.96026679610726,18.94550405358974],[-103.96064129862525,18.945322671876692],[-103.96066360944562,18.945305804703487],[-103.96068149351854,18.945297433864244],[-103.96084643435957,18.94512451216783],[-103.96080632795336,18.944968396582567],[-103.96103820157553,18.94482078211434],[-103.96118534723767,18.94495994690246],[-103.96137711492446,18.94479969786408],[-103.96139048378053,18.94479548485869],[-103.96140385263789,18.944791271852548],[-103.96180961135487,18.944668956974475],[-103.96181403814212,18.944652124951084],[-103.96181855346526,18.944643710557905],[-103.96193002001878,18.94428518990236],[-103.9619433889284,18.944276720357184],[-103.96195233104747,18.94427249058291],[-103.96233135347832,18.944264127658187],[-103.96247850051886,18.944306277488316],[-103.96255428750345,18.94442854173304],[-103.9625676564735,18.944424328661622],[-103.96329445229709,18.944348442730917],[-103.96332127891856,18.94437370709238],[-103.96347285385454,18.94415019557857],[-103.96323654931012,18.94344587335055],[-103.96317413097981,18.943353094022115],[-103.96291100039969,18.942977771767357],[-103.96278616406161,18.94302835973983],[-103.96230010024622,18.94261081886462],[-103.96218420659463,18.942421029213712],[-103.96221988660075,18.9422227724391],[-103.96222874020172,18.94214689841569],[-103.96231346919167,18.94186845802117],[-103.96226442021937,18.941771465208255],[-103.96231798453114,18.94165759424997],[-103.96225547808008,18.941632304258203],[-103.9618542333769,18.941518389541663],[-103.96181403814212,18.94136237118688],[-103.96180961135487,18.941345505755354],[-103.96176498934727,18.941299075368],[-103.96178287356287,18.9412062842616],[-103.9618274070405,18.94060741962577],[-103.9620548555827,18.940447111493757],[-103.96225999341766,18.93970483728764],[-103.96036489264966,18.938561801566443],[-103.95994568092763,18.93870525985969],[-103.9597227511155,18.938696821775746],[-103.95950424837667,18.9388106859112],[-103.95932585194812,18.938751672777173],[-103.95921438749767,18.938675757884145],[-103.95921890273577,18.938540712826164],[-103.9591832235054,18.937937594034363]]]}"
00000000000000000009,0600100010344,0344,06,0001,001,1.758853084731528E-4,"{""type"":""Polygon"",""coordinates"":[[[-103.9726362749527,18.945710734699748],[-103.97264964489838,18.945736049572243],[-103.97268984328585,18.945807731017346],[-103.97285037132418,18.946149366743832],[-103.97301089954888,18.94650359410954],[-103.973042066661,18.94649092621539],[-103.97343891669713,18.94631384409658],[-103.97341217665445,18.946237942260108],[-103.9733230137018,18.94595532099446],[-103.97326501796903,18.945782403066563],[-103.9732204808045,18.94563479313957],[-103.9731357451255,18.94536912515366],[-103.9731044894493,18.94527210906648],[-103.9730733223231,18.945179342597452],[-103.97305543664591,18.945124489484282],[-103.97300638385994,18.94496418942246],[-103.97296627392332,18.944841868200385],[-103.9729305911418,18.94473224387935],[-103.97290827834017,18.94466052615337],[-103.97289048122717,18.944609922652806],[-103.97281911571247,18.944377993538748],[-103.97277457869157,18.94424297540338],[-103.97301975384138,18.944036341592113],[-103.97379123052387,18.943395249513312],[-103.97293953397202,18.94350492664732],[-103.97208784266657,18.94360617562165],[-103.97169542361243,18.94367366480839],[-103.97196299803619,18.94428095117853],[-103.97209226978319,18.94457194830631],[-103.97217257770332,18.944774375794957],[-103.97221268740967,18.94487142518928],[-103.97229299539977,18.94506542850621],[-103.97247574716296,18.945423899773818],[-103.97252037263021,18.94548300588259],[-103.97256499811186,18.945567295646274],[-103.9726362749527,18.945710734699748]]]}"
