nra,nombre,estado,sector,sustancia,cas,contaminante,emision,year,latitud norte,longitud oeste,municipio,localidad
CAP730600911,CEMENTOS APASCO S.A. DE C.V.,COLIMA,Cemento y Cal,Cromo (compuestos),S/C3,aire,0.047,2004,"18°58'43""","103°52'18""",Tecoman,CALERAS
CAP730600911,CEMENTOS APASCO S.A. DE C.V.,COLIMA,Cemento y Cal,Bióxido de carbono,124-38-9,aire,1035641.88,2004,"18°58'43""","103°52'18""",Tecoman,CALERAS
CAP730600911,CEMENTOS APASCO S.A. DE C.V.,COLIMA,Cemento y Cal,Benceno,71-43-2,aire,6.152,2004,"18°58'43""","103°52'18""",Tecoman,CALERAS
CAP730600911,CEMENTOS APASCO S.A. DE C.V.,COLIMA,Cemento y Cal,Mercurio,7439-97-6,aire,0.078,2004,"18°58'43""","103°52'18""",Tecoman,CALERAS
CAP730600911,CEMENTOS APASCO S.A. DE C.V.,COLIMA,Cemento y Cal,Arsénico,7440-38-2,aire,0.008,2004,"18°58'43""","103°52'18""",Tecoman,CALERAS
CAP730600911,CEMENTOS APASCO S.A. DE C.V.,COLIMA,Cemento y Cal,Cadmio,7440-43-9,aire,0.003,2004,"18°58'43""","103°52'18""",Tecoman,CALERAS
CAP730600911,CEMENTOS APASCO S.A. DE C.V.,COLIMA,Cemento y Cal,Dioxinas,S/C10,aire,3.06056e-11,2004,"18°58'43""","103°52'18""",Tecoman,CALERAS
CAP730600911,CEMENTOS APASCO S.A. DE C.V.,COLIMA,Cemento y Cal,Plomo (compuestos),S/C6,aire,0.255,2004,"18°58'43""","103°52'18""",Tecoman,CALERAS
CFEAD0600711,"COMISIÓN FEDERAL DE ELECTRICIDAD, CENTRAL TERMOELECTRICA MANZANILLO",COLIMA,Generacion de energia electrica ,Bióxido de nitrógeno,10102-44-0,aire,7077.0,2004,"19°1'36""","104°19'14""",Manzanillo,MANZANILLO
CFEAD0600711,"COMISIÓN FEDERAL DE ELECTRICIDAD, CENTRAL TERMOELECTRICA MANZANILLO",COLIMA,Generacion de energia electrica ,Bióxido de carbono,124-38-9,aire,6948.0,2004,"19°1'36""","104°19'14""",Manzanillo,MANZANILLO
COC740600211,CALIDRA DE OCCIDENTE SA DE CV,COLIMA,Cemento y Cal,Bióxido de carbono,124-38-9,aire,17576.61,2004,"19°0'32""","103°45'57""",Colima,LOS ASMOLES
ENC110600511,LAS ENCINAS S.A. DE C.V. PLANTA PELETIZADORA,COLIMA,Metalurgica (incluye la siderurgica) ,Bióxido de carbono,124-38-9,aire,1838.0,2004,19.25677,-103.52939,Cuauhtemoc,ESTACION ALZADA
PRERP0600711,PEMEX REFINACION RESIDENCIA DE OPERACIONES PORTUARIAS,COLIMA,Petroleo y petroquimica ,Benceno,71-43-2,aire,0.347,2004,"19°3'21""","104°19'4""",Manzanillo,MANZANILLO
PTA640600911,PRODUCTOS TANIART S.A DE C.V,COLIMA,Quimica,Bióxido de carbono,124-38-9,aire,4197.48,2004,"18°55'19.24""","103°52'39.70""",Tecoman,TECOMAN
CAP730600911,CEMENTOS APASCO S.A. DE C.V.,COLIMA,Cemento y Cal,Cromo (compuestos),S/C3,agua,0.002,2004,"18°58'43""","103°52'18""",Tecoman,CALERAS
CAP730600911,CEMENTOS APASCO S.A. DE C.V.,COLIMA,Cemento y Cal,Cianuro inorgánico/orgánico,57-12-5,agua,0.000420888,2004,"18°58'43""","103°52'18""",Tecoman,CALERAS
CAP730600911,CEMENTOS APASCO S.A. DE C.V.,COLIMA,Cemento y Cal,Arsénico,7440-38-2,agua,0.0002170896,2004,"18°58'43""","103°52'18""",Tecoman,CALERAS
CAP730600911,CEMENTOS APASCO S.A. DE C.V.,COLIMA,Cemento y Cal,Cadmio,7440-43-9,agua,0.002,2004,"18°58'43""","103°52'18""",Tecoman,CALERAS
CAP730600911,CEMENTOS APASCO S.A. DE C.V.,COLIMA,Cemento y Cal,Mercurio (compuestos),S/C4,agua,0.000155064,2004,"18°58'43""","103°52'18""",Tecoman,CALERAS
CAP730600911,CEMENTOS APASCO S.A. DE C.V.,COLIMA,Cemento y Cal,Níquel (compuestos),S/C5,agua,0.001,2004,"18°58'43""","103°52'18""",Tecoman,CALERAS
CAP730600911,CEMENTOS APASCO S.A. DE C.V.,COLIMA,Cemento y Cal,Plomo (compuestos),S/C6,agua,0.004,2004,"18°58'43""","103°52'18""",Tecoman,CALERAS
ENCRP0600911,"Las Encinas, S.A. de C.V., Estación Tecoman",COLIMA,Metalurgica (incluye la siderurgica) ,Cianuro inorgánico/orgánico,57-12-5,agua,9.3434e-06,2004,"18°57'38""","-103°53'26""",Tecoman,Tecomán
ENCRP0600911,"Las Encinas, S.A. de C.V., Estación Tecoman",COLIMA,Metalurgica (incluye la siderurgica) ,Arsénico,7440-38-2,agua,4.489e-06,2004,"18°57'38""","-103°53'26""",Tecoman,Tecomán
MAC9M0600211,Manufactura Avanzada de Colima S. A. de C. V.,COLIMA,Automotriz ,Arsénico,7440-38-2,agua,9.0529717e-06,2004,"19°14'36.04""","103°43'29.10""",Colima,Colima
MAC9M0600211,Manufactura Avanzada de Colima S. A. de C. V.,COLIMA,Automotriz ,Mercurio (compuestos),S/C4,agua,4.5264e-06,2004,"19°14'36.04""","103°43'29.10""",Colima,Colima
MAC9M0600211,Manufactura Avanzada de Colima S. A. de C. V.,COLIMA,Automotriz ,Cianuro inorgánico/orgánico,57-12-5,agua,0.000181059434,2004,"19°14'36.04""","103°43'29.10""",Colima,Colima
ENCEA0600411,Las Encinas SA de CV. Mina Cerro Náhuatl,COLIMA,Metalurgica (incluye la siderurgica) ,Mercurio,7439-97-6,disposición final,0.006,2004,"19°10'0""","-103°53'45""",Coquimatlan,La Esperanza
AMT640600911,AMTEX S.A DE C.V.,COLIMA,Quimica,Bióxido de carbono,124-38-9,aire,2086.71,2005,"19°14'15.03""","103°43'39.09""",Colima,TECOMAN
CAP730600911,CEMENTOS APASCO S.A. DE C.V.,COLIMA,Cemento y Cal,Benceno,71-43-2,aire,7.604,2005,"18°58'43""","103°52'18""",Tecoman,CALERAS
