AREA_GEOGRAFICA ,TEMA,SUBTEMA,VARIABLE,DENOMINACION,VALOR ,UNIDAD_MEDIDA
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo Hombres,Total de mano de obra,83.2,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo Mujeres,Total de mano de obra,16.74,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo No especificado,Total de mano de obra,0.06,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo Hombres,Dependiente de la razón social Mano de obra no remunerada,69.65,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo Mujeres,Dependiente de la razón social Mano de obra no remunerada,30.35,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo No especificado,Dependiente de la razón social Mano de obra no remunerada,,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo Hombres,Dependiente de la razón social Mano de obra no remunerada Familiares del productor,69.52,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo Mujeres,Dependiente de la razón social Mano de obra no remunerada Familiares del productor,30.48,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo No especificado,Dependiente de la razón social Mano de obra no remunerada Familiares del productor,,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo Hombres,"Dependiente de la razón social Mano de obra no remunerada Practicantes, becarios o prestadores de servicios",75.57,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo Mujeres,"Dependiente de la razón social Mano de obra no remunerada Practicantes, becarios o prestadores de servicios",24.43,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo No especificado,"Dependiente de la razón social Mano de obra no remunerada Practicantes, becarios o prestadores de servicios",,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo Hombres,Dependiente de la razón social Mano de obra remunerada,87.55,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo Mujeres,Dependiente de la razón social Mano de obra remunerada,12.45,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo No especificado,Dependiente de la razón social Mano de obra remunerada,,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo Hombres,Dependiente de la razón social Mano de obra remunerada Permanente,89.91,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo Mujeres,Dependiente de la razón social Mano de obra remunerada Permanente,10.09,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo No especificado,Dependiente de la razón social Mano de obra remunerada Permanente,,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo Hombres,Dependiente de la razón social Mano de obra remunerada Eventual,92.77,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo Mujeres,Dependiente de la razón social Mano de obra remunerada Eventual,7.23,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo No especificado,Dependiente de la razón social Mano de obra remunerada Eventual,,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo Hombres,Dependiente de la razón social Mano de obra remunerada Jornaleros,86.73,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo Mujeres,Dependiente de la razón social Mano de obra remunerada Jornaleros,13.27,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo No especificado,Dependiente de la razón social Mano de obra remunerada Jornaleros,,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo Hombres,Dependiente de otra razón social,97.27,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo Mujeres,Dependiente de otra razón social,2.73,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo No especificado,Dependiente de otra razón social,,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo Hombres,Productoras(es) que participaron en las labores agropecuarias,85.14,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo Mujeres,Productoras(es) que participaron en las labores agropecuarias,14.34,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de mano de obra empleada en las actividades agropecuarias según sexo,Sexo No especificado,Productoras(es) que participaron en las labores agropecuarias,0.52,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de unidades de producción con jornaleros empleados en las actividades agropecuarias,Sexo Hombres,Unidades de producción con jornaleros,99.2,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de unidades de producción con jornaleros empleados en las actividades agropecuarias,Sexo Mujeres,Unidades de producción con jornaleros,16.6,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de unidades de producción con jornaleros empleados en las actividades agropecuarias,Sexo Hombres,Lugar de procedencia de los jornaleros Los alrededores o zonas cercanas,99.19,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de unidades de producción con jornaleros empleados en las actividades agropecuarias,Sexo Mujeres,Lugar de procedencia de los jornaleros Los alrededores o zonas cercanas,16.36,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de unidades de producción con jornaleros empleados en las actividades agropecuarias,Sexo Hombres,Lugar de procedencia de los jornaleros Otras partes del mismo estado,99.7,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de unidades de producción con jornaleros empleados en las actividades agropecuarias,Sexo Mujeres,Lugar de procedencia de los jornaleros Otras partes del mismo estado,24.44,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de unidades de producción con jornaleros empleados en las actividades agropecuarias,Sexo Hombres,Lugar de procedencia de los jornaleros De otro estado,99.98,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de unidades de producción con jornaleros empleados en las actividades agropecuarias,Sexo Mujeres,Lugar de procedencia de los jornaleros De otro estado,29.01,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de unidades de producción con jornaleros empleados en las actividades agropecuarias,Sexo Hombres,Lugar de procedencia de los jornaleros De otro país,100,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de unidades de producción con jornaleros empleados en las actividades agropecuarias,Sexo Mujeres,Lugar de procedencia de los jornaleros De otro país,69.27,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de unidades de producción con jornaleros empleados en las actividades agropecuarias,Sexo Hombres,Promedio de días contratados,20.67,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de unidades de producción con jornaleros empleados en las actividades agropecuarias,Sexo Mujeres,Promedio de días contratados,22.74,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de unidades de producción con jornaleros empleados en las actividades agropecuarias,Sexo Hombres,Promedio de horas del jornal,7.16,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de unidades de producción con jornaleros empleados en las actividades agropecuarias,Sexo Mujeres,Promedio de horas del jornal,7.47,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de unidades de producción con jornaleros empleados en las actividades agropecuarias,Sexo Hombres,Promedio del pago por jornal (pesos),178.38,Porcentaje
Nacional,Mano de obra y remuneraciones,Porcentaje de unidades de producción con jornaleros empleados en las actividades agropecuarias,Sexo Mujeres,Promedio del pago por jornal (pesos),163.97,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción según acciones realizadas,Acciones para protección del medio ambiente,Disminución del consumo de energía eléctrica,14.2,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción según acciones realizadas,Acciones para protección del medio ambiente,"Uso de energías alternativas (solar, eólica, hídrica)",2.94,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción según acciones realizadas,Acciones para protección del medio ambiente,Disminución del consumo de agua,20.69,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción según acciones realizadas,Acciones para protección del medio ambiente,Tratamiento de excretas o aguas residuales,1.59,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción según acciones realizadas,Acciones para protección del medio ambiente,Verificación vehicular,14.58,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción según acciones realizadas,Acciones para protección del medio ambiente,Disposición de un lugar para guardado de empaques y envases de agroquímicos o productos biológicos,22.2,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción según acciones realizadas,Acciones para protección del medio ambiente,Plantación o conservación de cercos vivos para disminuir la erosión,28.48,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción según acciones realizadas,Acciones para protección del medio ambiente,Producción de composta con residuos orgánicos,6.71,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción según acciones realizadas,Acciones para protección del medio ambiente,Prevención de incendios,32.46,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción según acciones realizadas,Acciones para protección del medio ambiente,Monitoreo de plagas y enfermedades,24.63,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción según acciones realizadas,Acciones para protección del medio ambiente,Aplicación de obras de conservación y restauración de suelos,8.11,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción según acciones realizadas,Acciones para protección del medio ambiente,Recepción de capacitación ambiental,2.95,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción según acciones realizadas,Acciones para protección del medio ambiente,Captación de agua,11.09,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción según acciones realizadas,Acciones para protección del medio ambiente,Otra acción,0.28,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción con separación de empaques ,Tipo de material,Unidades de producción con separación de empaques de agroquímicos ,53.84,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción con separación de empaques ,Tipo de material,Con separación de residuos de: Papel y cartón ,3.64,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción con separación de empaques ,Tipo de material,Con separación de residuos de: Madera,0.26,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción con separación de empaques ,Tipo de material,Con separación de residuos de: Plástico,94.57,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción con separación de empaques ,Tipo de material,Con separación de residuos de: Metal,0.38,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción con separación de empaques ,Tipo de material,Con separación de residuos de: Vidrio,1.15,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción con separación de residuos ,Destino final de los residuos,Unidades de producción con separación de empaques de agroquímicos ,53.84,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción con separación de residuos ,Destino final de los residuos,Destino de los residuos: Tirados en alguna barranca,0.64,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción con separación de residuos ,Destino final de los residuos,Destino de los residuos: Tirados en algún río o lago,0.04,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción con separación de residuos ,Destino final de los residuos,Destino de los residuos: Tirados en algún contenedor,15.95,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción con separación de residuos ,Destino final de los residuos,Destino de los residuos: Tirados en el relleno sanitario,3.59,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción con separación de residuos ,Destino final de los residuos,Destino de los residuos: Entregados a empresa de manejo de residuos peligrosos,2.22,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción con separación de residuos ,Destino final de los residuos,Destino de los residuos: Dejados en el terreno,4.17,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción con separación de residuos ,Destino final de los residuos,Destino de los residuos: Guardados en la vivienda,4.08,Porcentaje
Nacional,Medio ambiente,Porcentaje de unidades de producción con separación de residuos ,Destino final de los residuos,Destino de los residuos: Quemados,36.16,Porcentaje
